['(max((min((sin(x_3)+x_4),max(((max(min(sin((x_1-x_1)),x_4),min((x_3+(x_4/x_7)),sin(x_2)))/x_3)+sqrt(abs((x_7-x_7)))),sin(-4.0555276010719306)))/sqrt(abs(sin(sin((min(x_7,x_4)-sin(max(max(x_0,max(max(min(sin(sqrt(abs((1.2477985620498657+sqrt(abs(sin(x_5))))))),x_0),x_0),x_6)),sin(x_3))))))))),sin(x_3))-sin(sin((min(x_7,x_4)-sin(x_1)))))', '((sqrt(abs((x_1-x_7)))/min(x_7,(x_1-x_7)))*(((sin(0.28321325276849085)-x_0)*x_0)-min((((sin(0.38596226472274564)/min(x_7,(x_1-x_7)))-x_7)-max(min((x_6*max(x_7,x_7)),(max(x_5,x_4)*3.6109756237236263)),sin((max(((x_4+x_4)*x_2),max(x_3,x_0))/(min(sin(x_7),(x_5/x_7))*sin((max(x_5,x_4)*3.6109756237236263))))))),x_4)))', '((min(max(sin(sqrt(abs(x_4))),max(x_6,x_0)),sqrt(abs(x_5)))*max((sin(min(x_4,(x_0-x_7)))*(sin(x_4)*(max(sqrt(abs(sqrt(abs(sqrt(abs(max(sqrt(abs(x_5)),x_3))))))),x_7)+((min(x_4,x_1)*(x_2-(x_2-x_6)))/(max(x_5,x_4)*(x_4/min(x_3,x_2))))))),sin((sqrt(abs(x_3))/sqrt(abs(3.020122528076172))))))*sqrt(abs((((1.2002949714660645*(x_6+x_6))*x_3)-sqrt(abs(x_6))))))', '(max((((x_6/x_7)-min(x_6,x_2))+((x_5+x_4)+x_4)),((x_4*x_3)+(x_3+(x_3/x_3))))/min(((max(x_3,x_1)-x_2)+(min(max(x_3,x_2),x_5)-(sqrt(abs(sin(x_6)))+sin((x_1-x_5))))),(x_3-sin((((sqrt(abs(x_5))*(x_2+x_4))/x_0)/x_7)))))']
0 , -108.3459343120349
1 , 207.65331408158403
2 , 242.88267417294696
3 , 127.86668849041007
4 , 263.05801028312123
5 , 249.886154738028
6 , -12.472458951137341
7 , 208.92844477830056
8 , 231.98917336135202
9 , 242.95471619159292
10 , 242.89244430949677
11 , 253.1602593636193
12 , 236.86742568941978
13 , -33.32231576866465
14 , 252.0101200252867
15 , 278.9620486246556
16 , 207.78674539979642
17 , 239.48184143005292
18 , 299.4951804564456
19 , 225.0821539496972
20 , -76.54710178116795
21 , 251.83791789669408
22 , -189.30451170182886
23 , 229.81087127997972
24 , 198.68045064465014
25 , -212.50496804325792
26 , -40.95726515179632
27 , 245.55093608288266
28 , 229.53447639745437
29 , -133.08509075274225
30 , 152.59882372991368
31 , 259.6581355656041
32 , 30.00473650903581
33 , 234.52559667717338
34 , 94.50786365302538
35 , 309.3268876899049
36 , 280.501703985093
37 , 208.44453419349855
38 , 236.84605923159216
39 , 195.48164023552908
40 , 272.991739653188
41 , 206.04613158598937
42 , 36.964660444369
43 , 161.21917505188006
44 , 5.330502967340891
45 , 244.83878841546473
46 , -165.38139195485365
47 , 261.8440804156293
48 , 250.85655836584374
49 , 252.53686228280185
50 , 251.7039844193387
51 , 43.923480413481116
52 , 20.51984264541278
53 , 242.13520969124497
54 , 186.91787603252385
55 , 257.97785861138436
56 , 299.2936593650792
57 , -53.96294305090663
58 , -29.57165798669797
59 , 83.5016001715043
60 , 235.61629690654732
61 , 227.8594443142191
62 , 269.4796664647824
63 , 222.5579749778945
64 , 190.88203300655925
65 , -155.53805349821585
66 , 217.61367484416135
67 , -93.03764674634343
68 , -6.427752710563411
69 , -155.62403867071208
70 , 267.4395596414231
71 , 262.9267016913818
72 , 238.7539556436218
73 , 244.93356017969924
74 , 252.59772126893003
75 , -32.326439271113685
76 , 236.1893032708786
77 , 196.7590996435308
78 , 247.5021179175967
79 , 26.01798754630842
80 , 254.52625530148006
81 , 277.5041409485193
82 , 229.78666095827634
83 , 258.52340123850615
84 , 260.6792251948713
85 , 278.68643972449803
86 , 221.44320158908025
87 , 246.68723601931688
88 , 264.21961308000255
89 , 289.45848259091406
90 , 243.63641634508733
91 , 174.69829719014473
92 , 221.88777923865194
93 , 244.05059582475582
94 , 172.81377736399256
95 , 208.19691648897745
96 , 257.8108503178372
97 , 257.48230702214886
98 , 161.8259449923333
99 , 256.0310890402146
Score is 168.65538197085408
Good runs 65/100
